id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
2573,Moncton WCQ Regional,Canada,2022-05-21,Carter Bird,TCG,moncton-wcq-regional-2573,100,True
2574,Las Vegas WCQ Regional,United States,2022-05-21,Chancy Wigglestove,TCG,las-vegas-wcq-regional-2574,200,True
2575,Sweden National Championship,Sweden,2022-05-21,Loa Strandberg,TCG,sweden-national-championship-2575,160,True
2576,Ecuador National Championship,Ecuador,2022-05-21,Enrique Toledo,TCG,ecuador-national-championship-2576,140,True
2577,Knoxville WCQ Regional,United States,2022-05-14,,TCG,knoxville-wcq-regional-2577,160,True
2578,El Salvador National Championships,El Salvador,2022-05-21,Kelvin Pineda,TCG,el-salvador-national-championships-2578,100,True
2579,Wisconsin WCQ Regional,United States,2022-04-30,,TCG,wisconsin-wcq-regional-2579,200,True
2580,Houston WCQ Regional,United States,2022-04-24,Hector O.,TCG,houston-wcq-regional-2580,150,True
2581,Salem WCQ Regional,United States,2022-04-24,Tristan Bridges,TCG,salem-wcq-regional-2581,100,True
2582,Denver WCQ Regional,United States,2022-04-10,,TCG,denver-wcq-regional-2582,150,True
2583,UK Remote Duel Invitational Qualifiers,United Kingdom,2021-09-05,Owen W.,TCG,uk-remote-duel-invitational-qualifiers-2583,160,True
2584,UK Remote Duel Extravaganza,United Kingdom,2021-08-22,Jannes W.,TCG,uk-remote-duel-extravaganza-2584,300,True
2585,NA Remote Duel Invitational,United States,2021-08-29,Rehan Saeed,TCG,na-remote-duel-invitational-2585,200,True
2586,Detroit WCQ Regional,United States,2022-08-27,,TCG,detroit-wcq-regional-2586,140,True
2587,Messina WCQ Regional,Italy,2022-03-06,Davide Restivo,TCG,messina-wcq-regional-2587,120,True
2588,Newcastle Upon Tyne WCQ Regional,United Kingdom,2025-01-04,,TCG,newcastle-upon-tyne-wcq-regional-2588,100,False
2589,Spanish Open 2025,Spain,2025-01-11,Daniel Gutierrez,TCG,spanish-open-2025-2589,251,False
2590,Vancouver WCQ Regional,Canada,2025-01-11,Omid T.,TCG,vancouver-wcq-regional-2590,130,True
2591,Niagara Falls WCQ Regional,Canada,2025-01-11,Adam Pruchnowski,TCG,niagara-falls-wcq-regional-2591,190,False
2592,San Jose WCQ Regional,Costa Rica,2025-01-12,Juan Diego Gonzales,TCG,san-jose-wcq-regional-2592,178,False
2593,Guayaquil WCQ Regional,Ecuador,2025-01-12,Jhon David Guerrero Sanchez,TCG,guayaquil-wcq-regional-2593,300,False
2594,Guatemala WCQ Regional,Guatemala,2025-01-12,Gabriel Martinez,TCG,guatemala-wcq-regional-2594,130,False
2595,Peterborough WCQ Regional,United Kingdom,2025-01-12,Josh Kelly,TCG,peterborough-wcq-regional-2595,100,True
2596,Chelmsford WCQ Regional,United Kingdom,2025-01-11,Khaled Kbies,TCG,chelmsford-wcq-regional-2596,80,True
2597,Munich WCQ Regional,Germany,2025-01-11,Felix Pfeiffer,TCG,munich-wcq-regional-2597,229,False
2598,Bergamo WCQ Regional,Italy,2025-01-12,Alessandro Boniolo,TCG,bergamo-wcq-regional-2598,200,True
2599,Chateauroux WCQ Regional,France,2025-01-11,Ilias Fassi,TCG,chateauroux-wcq-regional-2599,128,True
